ID,rel_on_right,rel_on_left,rel_in_right,rel_in_left,rel_attach,rel_in_grasp,rel_grasp,pos_x,pos_y,pos_z,pos_roll,pos_pitch,pos_yaw
"(0, 2)",0,0,0,0,0,0,1,0,0,0,0,0,0
"(2, 0)",0,0,0,0,0,1,0,0,0,0,0,0,0
"(3, 5)",1,0,0,0,0,0,0,0,0,10,0,0,0
"(5, 3)",0,1,0,0,0,0,0,0,0,-10,0,0,0
"(5, 1)",1,0,0,0,0,0,0,0,0,10,0,0,0
"(1, 5)",0,1,0,0,0,0,0,0,0,-10,0,0,0
"(1, 4)",1,0,0,0,0,0,0,0,0,10,0,0,0
"(4, 1)",0,1,0,0,0,0,0,0,0,-10,0,0,0
"(4, 8)",1,0,0,0,0,0,0,20,-20,0,0,0,-2
"(6, 8)",1,0,0,0,0,0,0,-40,0,0,0,0,0
"(7, 8)",1,0,0,0,0,0,0,40,0,0,0,0,0
"(8, 4)",0,1,0,0,0,0,0,-20,20,0,0,0,2
"(8, 6)",0,1,0,0,0,0,0,40,0,0,0,0,0
"(8, 7)",0,1,0,0,0,0,0,-40,0,0,0,0,0
"(0, 3)",0,0,0,0,0,0,0,0,0,0,0,0,0
"(0, 5)",0,0,0,0,0,0,0,0,0,0,0,0,0
"(0, 1)",0,0,0,0,0,0,0,0,0,0,0,0,0
"(0, 4)",0,0,0,0,0,0,0,0,0,0,0,0,0
"(0, 6)",0,0,0,0,0,0,0,0,0,0,0,0,0
"(0, 7)",0,0,0,0,0,0,0,0,0,0,0,0,0
"(0, 8)",0,0,0,0,0,0,0,0,0,0,0,0,0
"(2, 3)",0,0,0,0,0,0,0,0,0,0,0,0,0
"(2, 5)",0,0,0,0,0,0,0,0,0,0,0,0,0
"(2, 1)",0,0,0,0,0,0,0,0,0,0,0,0,0
"(2, 4)",0,0,0,0,0,0,0,0,0,0,0,0,0
"(2, 6)",0,0,0,0,0,0,0,0,0,0,0,0,0
"(2, 7)",0,0,0,0,0,0,0,0,0,0,0,0,0
"(2, 8)",0,0,0,0,0,0,0,0,0,0,0,0,0
"(3, 0)",0,0,0,0,0,0,0,0,0,0,0,0,0
"(3, 2)",0,0,0,0,0,0,0,0,0,0,0,0,0
"(3, 1)",0,0,0,0,0,0,0,0,0,0,0,0,0
"(3, 4)",0,0,0,0,0,0,0,0,0,0,0,0,0
"(3, 6)",0,0,0,0,0,0,0,0,0,0,0,0,0
"(3, 7)",0,0,0,0,0,0,0,0,0,0,0,0,0
"(3, 8)",0,0,0,0,0,0,0,0,0,0,0,0,0
"(5, 0)",0,0,0,0,0,0,0,0,0,0,0,0,0
"(5, 2)",0,0,0,0,0,0,0,0,0,0,0,0,0
"(5, 4)",0,0,0,0,0,0,0,0,0,0,0,0,0
"(5, 6)",0,0,0,0,0,0,0,0,0,0,0,0,0
"(5, 7)",0,0,0,0,0,0,0,0,0,0,0,0,0
"(5, 8)",0,0,0,0,0,0,0,0,0,0,0,0,0
"(1, 0)",0,0,0,0,0,0,0,0,0,0,0,0,0
"(1, 2)",0,0,0,0,0,0,0,0,0,0,0,0,0
"(1, 3)",0,0,0,0,0,0,0,0,0,0,0,0,0
"(1, 6)",0,0,0,0,0,0,0,0,0,0,0,0,0
"(1, 7)",0,0,0,0,0,0,0,0,0,0,0,0,0
"(1, 8)",0,0,0,0,0,0,0,0,0,0,0,0,0
"(4, 0)",0,0,0,0,0,0,0,0,0,0,0,0,0
"(4, 2)",0,0,0,0,0,0,0,0,0,0,0,0,0
"(4, 3)",0,0,0,0,0,0,0,0,0,0,0,0,0
"(4, 5)",0,0,0,0,0,0,0,0,0,0,0,0,0
"(4, 6)",0,0,0,0,0,0,0,0,0,0,0,0,0
"(4, 7)",0,0,0,0,0,0,0,0,0,0,0,0,0
"(6, 0)",0,0,0,0,0,0,0,0,0,0,0,0,0
"(6, 2)",0,0,0,0,0,0,0,0,0,0,0,0,0
"(6, 3)",0,0,0,0,0,0,0,0,0,0,0,0,0
"(6, 5)",0,0,0,0,0,0,0,0,0,0,0,0,0
"(6, 1)",0,0,0,0,0,0,0,0,0,0,0,0,0
"(6, 4)",0,0,0,0,0,0,0,0,0,0,0,0,0
"(6, 7)",0,0,0,0,0,0,0,0,0,0,0,0,0
"(7, 0)",0,0,0,0,0,0,0,0,0,0,0,0,0
"(7, 2)",0,0,0,0,0,0,0,0,0,0,0,0,0
"(7, 3)",0,0,0,0,0,0,0,0,0,0,0,0,0
"(7, 5)",0,0,0,0,0,0,0,0,0,0,0,0,0
"(7, 1)",0,0,0,0,0,0,0,0,0,0,0,0,0
"(7, 4)",0,0,0,0,0,0,0,0,0,0,0,0,0
"(7, 6)",0,0,0,0,0,0,0,0,0,0,0,0,0
"(8, 0)",0,0,0,0,0,0,0,0,0,0,0,0,0
"(8, 2)",0,0,0,0,0,0,0,0,0,0,0,0,0
"(8, 3)",0,0,0,0,0,0,0,0,0,0,0,0,0
"(8, 5)",0,0,0,0,0,0,0,0,0,0,0,0,0
"(8, 1)",0,0,0,0,0,0,0,0,0,0,0,0,0
